SECTION,ZONATION,BROWN,RED,GREEN,ENCRUSTING,OTHER
8,M,A,A,A,A,A
8,U,A,A,P,A,A
8,U,A,A,P,A,A
8,L,P,P,P,A,A
8,L,P,P,P,A,A
8,L,P,A,P,A,A
8,L,P,P,P,A,A
8,L,P,A,P,A,A
8,L,P,P,P,A,A
8,L,P,P,P,A,A
8,L,P,P,P,A,A
8,L,A,P,P,A,A
8,L,P,P,P,A,A
8,L,A,A,P,P,A
8,L,P,A,P,A,A
8,L,A,A,P,A,A
8,L,A,A,A,A,A
